scenario,n_malicious,flip_frac,seed,accuracy,precision_macro,recall_macro,f1_macro,auroc,asr,dos_as_probe,f1_normal,f1_dos,f1_probe
clean,0,0.0,11,0.8735,0.8638,0.8193,0.8365,0.9301,0.1762,0.0307,0.9045,0.8723,0.7326
URLF,10,0.5,11,0.863,0.8589,0.805,0.8248,0.935,0.2027,0.0295,0.8939,0.8617,0.7188
FBPLF,10,0.5,11,0.863,0.8555,0.8098,0.8267,0.9565,0.1958,0.0315,0.8951,0.8585,0.7265
clean,0,0.0,22,0.8742,0.8684,0.8096,0.8317,0.9433,0.1861,0.029,0.9029,0.8815,0.7108
URLF,10,0.5,22,0.886,0.8775,0.8406,0.855,0.9572,0.16,0.0306,0.9127,0.8851,0.7673
FBPLF,10,0.5,22,0.887,0.8758,0.8409,0.8549,0.9568,0.1517,0.03,0.9155,0.8849,0.7642
clean,0,0.0,33,0.8653,0.8565,0.8008,0.8216,0.9345,0.1972,0.0273,0.8949,0.8734,0.6965
URLF,10,0.5,33,0.862,0.854,0.7898,0.8132,0.9486,0.2051,0.0229,0.8911,0.8757,0.673
FBPLF,10,0.5,33,0.8664,0.8551,0.806,0.8246,0.9591,0.1893,0.0279,0.8971,0.8714,0.7054
